"","name","country.etc","pop","lat","long","capital"
"10132","Ebolowa","CMR",92106,2.93,11.14,0
"10133","Ebreichsdorf","AUT",9686,47.95,16.4,0
"10134","Ebshowai","EGY",52291,29.37,30.68,0
"10135","Ebwaj","MHL",7,8.83,167.75,0
"10136","Ecatepec","MEX",1844447,19.6,-99.05,0
"10137","Ecaussinnes","BEL",9795,50.56,4.15,0
"10138","Eccles","GBR",37416,53.49,-2.33,0
"10139","Eceabat","TUR",5184,40.18,26.36,0
"10140","Echague","PHL",8182,16.7,121.65,0
"10141","Echallens","CHE",5108,46.63,6.63,0
"10142","Echirolles","FRA",33060,45.15,5.71,0
"10143","Echternach","LUX",4835,49.81,6.41,0
"10144","Echuca-Moama","AUS",20287,-36.13,144.75,0
"10145","Ecija","ESP",39280,37.54,-5.09,0
"10146","Ecilda Paullier","URY",2441,-34.37,-57.07,0
"10147","Eckernforde","DEU",23451,54.47,9.83,0
"10148","Eckero","FIN",1078,60.24,19.6,0
"10149","Ecroignard","MUS",6026,-20.23,57.74,0
"10150","Ecsed","HUN",3441,47.75,19.78,0
"10151","Ecser","HUN",3363,47.45,19.33,0
"10152","Ecublens","CHE",10066,46.6,6.79,0
"10153","Ecully","FRA",19548,45.77,4.75,0
"10154","Edam-Volendam","NLD",28456,52.51,4.99,0
"10155","Edathala","IND",72177,10.03,76.32,0
"10156","Edd","ERI",11434,13.93,41.69,0
"10157","Ede","NLD",106937,52.04,5.65,0
"10158","Ede","NGA",297619,7.73,4.52,0
"10159","Edea","CMR",218101,3.8,10.12,0
"10160","Edegem","BEL",21773,51.15,4.45,0
"10161","Edeleny","HUN",10991,48.3,20.74,0
"10162","Edelira","PRY",1704,-26.75,-55.27,0
"10163","Eden Prairie","USA",65076,44.85,-93.46,0
"10164","Edendale","NZL",582,-46.32,168.78,0
"10165","Edenderry","IRL",5010,53.34,-7.05,0
"10166","Edessa","GRC",18771,40.8,22.05,0
"10167","Edewecht","DEU",20952,53.12,7.99,0
"10168","Edfo","EGY",177181,24.98,32.87,0
"10169","Edgecumbe","NZL",1627,-37.98,176.83,0
"10170","Edina","USA",45648,44.89,-93.36,0
"10171","Edinburg","USA",63193,26.3,-98.16,0
"10172","Edinburgh","SHN",267,-37.06,-12.32,0
"10173","Edinburgh","GBR",438501,55.95,-3.22,0
"10174","Edinet","MDA",22650,48.17,27.32,0
"10175","Edirne","TUR",127775,41.69,26.56,0
"10176","Edise","EST",196,59.36,27.37,0
"10177","Edison","USA",103448,40.53,-74.37,0
"10178","Edko","EGY",107671,31.31,30.3,0
"10179","Edmond","USA",75061,35.67,-97.41,0
"10180","Edmonds","USA",40023,47.83,-122.37,0
